Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Algeria,African Region of WHO,Northern Africa,2019,38,9/16/2019,9/22/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,39,9/23/2019,9/29/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,40,9/30/2019,10/6/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,41,10/7/2019,10/13/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,42,10/14/2019,10/20/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,43,10/21/2019,10/27/2019,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2019,44,10/28/2019,11/3/2019,1,1,,,,,,,,,,,,1,No Activity
Algeria,African Region of WHO,Northern Africa,2019,45,11/4/2019,11/10/2019,3,3,,,,,,,,,,,,3,No Activity
Algeria,African Region of WHO,Northern Africa,2019,46,11/11/2019,11/17/2019,0,0,,,,,,,,,,,,,No Activity
Algeria,African Region of WHO,Northern Africa,2019,47,11/18/2019,11/24/2019,1,1,,,,,,,,,,,,,No Activity
Algeria,African Region of WHO,Northern Africa,2019,48,11/25/2019,12/1/2019,9,9,,1,1,0,0,2,0,1,0,1,3,6,Sporadic
Algeria,African Region of WHO,Northern Africa,2019,49,12/2/2019,12/8/2019,7,7,,,,,,,,,,,,,Sporadic
Algeria,African Region of WHO,Northern Africa,2019,50,12/9/2019,12/15/2019,15,15,,1,1,0,0,2,0,1,0,1,3,12,Local Outbreak
Algeria,African Region of WHO,Northern Africa,2019,51,12/16/2019,12/22/2019,18,18,,1,0,0,0,1,0,3,0,3,4,14,Local Outbreak
Algeria,African Region of WHO,Northern Africa,2019,52,12/23/2019,12/29/2019,21,21,,3,0,0,0,3,0,2,0,2,5,13,Local Outbreak
Angola,African Region of WHO,Middle Africa,2019,1,12/31/2018,1/6/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,2,1/7/2019,1/13/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,3,1/14/2019,1/20/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,4,1/21/2019,1/27/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,5,1/28/2019,2/3/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,6,2/4/2019,2/10/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,7,2/11/2019,2/17/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,8,2/18/2019,2/24/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,9,2/25/2019,3/3/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,10,3/4/2019,3/10/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,11,3/11/2019,3/17/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,12,3/18/2019,3/24/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,13,3/25/2019,3/31/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,14,4/1/2019,4/7/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,15,4/8/2019,4/14/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,16,4/15/2019,4/21/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,17,4/22/2019,4/28/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,18,4/29/2019,5/5/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,19,5/6/2019,5/12/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,20,5/13/2019,5/19/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,21,5/20/2019,5/26/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,22,5/27/2019,6/2/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,23,6/3/2019,6/9/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,24,6/10/2019,6/16/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,25,6/17/2019,6/23/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,26,6/24/2019,6/30/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,27,7/1/2019,7/7/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,28,7/8/2019,7/14/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,29,7/15/2019,7/21/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,30,7/22/2019,7/28/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,31,7/29/2019,8/4/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,32,8/5/2019,8/11/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,33,8/12/2019,8/18/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,34,8/19/2019,8/25/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,35,8/26/2019,9/1/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,36,9/2/2019,9/8/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,37,9/9/2019,9/15/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,38,9/16/2019,9/22/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,39,9/23/2019,9/29/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,40,9/30/2019,10/6/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,41,10/7/2019,10/13/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,42,10/14/2019,10/20/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,43,10/21/2019,10/27/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,44,10/28/2019,11/3/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,45,11/4/2019,11/10/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,46,11/11/2019,11/17/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,47,11/18/2019,11/24/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,48,11/25/2019,12/1/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,49,12/2/2019,12/8/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,50,12/9/2019,12/15/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,51,12/16/2019,12/22/2019,,,,,,,,,,,,,,,No Report
Angola,African Region of WHO,Middle Africa,2019,52,12/23/2019,12/29/2019,,,,,,,,,,,,,,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,1,12/31/2018,1/6/2019,3,3,,0,2,0,0,2,0,0,0,0,2,1,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,2,1/7/2019,1/13/2019,36,36,,0,6,0,0,6,0,0,0,0,6,25,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,3,1/14/2019,1/20/2019,38,38,,0,3,0,0,3,1,5,0,6,9,29,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,4,1/21/2019,1/27/2019,28,28,,0,5,0,0,5,0,3,0,3,8,20,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,5,1/28/2019,2/3/2019,19,19,,0,3,0,0,3,0,3,0,3,6,13,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,6,2/4/2019,2/10/2019,48,48,,0,10,0,0,10,0,1,0,1,11,37,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,7,2/11/2019,2/17/2019,64,64,,1,9,0,0,10,0,1,0,1,11,53,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,8,2/18/2019,2/24/2019,33,33,,0,4,0,0,4,0,1,0,1,5,29,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,9,2/25/2019,3/3/2019,26,26,,0,5,0,0,5,0,0,0,0,5,21,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,10,3/4/2019,3/10/2019,40,40,,0,0,0,0,0,1,1,0,2,2,38,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,11,3/11/2019,3/17/2019,45,45,,0,4,0,0,4,0,0,0,0,4,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,12,3/18/2019,3/24/2019,23,23,,0,1,0,0,1,0,0,0,0,1,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,13,3/25/2019,3/31/2019,21,21,,0,1,0,0,1,0,0,0,0,1,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,14,4/1/2019,4/7/2019,28,28,,1,2,0,0,3,0,0,0,0,3,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,15,4/8/2019,4/14/2019,29,29,,0,1,0,0,1,0,0,0,0,1,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,16,4/15/2019,4/21/2019,14,14,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,17,4/22/2019,4/28/2019,15,15,,0,0,0,0,0,1,0,0,1,1,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,18,4/29/2019,5/5/2019,23,23,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,19,5/6/2019,5/12/2019,18,18,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,20,5/13/2019,5/19/2019,14,14,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,21,5/20/2019,5/26/2019,4,4,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,22,5/27/2019,6/2/2019,10,10,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,23,6/3/2019,6/9/2019,5,5,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,24,6/10/2019,6/16/2019,3,3,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,25,6/17/2019,6/23/2019,3,3,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,26,6/24/2019,6/30/2019,4,4,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,27,7/1/2019,7/7/2019,7,7,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,28,7/8/2019,7/14/2019,11,11,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,29,7/15/2019,7/21/2019,10,10,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,30,7/22/2019,7/28/2019,14,14,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,31,7/29/2019,8/4/2019,4,4,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,32,8/5/2019,8/11/2019,5,5,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,33,8/12/2019,8/18/2019,13,13,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,34,8/19/2019,8/25/2019,9,9,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,35,8/26/2019,9/1/2019,16,16,,0,3,0,0,3,0,0,0,0,3,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,36,9/2/2019,9/8/2019,6,6,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,37,9/9/2019,9/15/2019,11,11,,0,8,0,0,8,0,0,0,0,8,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,38,9/16/2019,9/22/2019,6,6,,0,1,0,0,1,0,0,0,0,1,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,39,9/23/2019,9/29/2019,0,0,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,40,9/30/2019,10/6/2019,7,7,,0,1,0,0,1,0,0,0,0,1,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,41,10/7/2019,10/13/2019,1,1,,1,0,0,0,1,0,0,0,0,1,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,42,10/14/2019,10/20/2019,3,3,,1,1,0,0,2,0,0,0,0,2,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,43,10/21/2019,10/27/2019,3,3,,3,0,0,0,3,0,0,0,0,3,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,44,10/28/2019,11/3/2019,3,3,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,45,11/4/2019,11/10/2019,4,4,,2,0,0,0,2,0,1,0,1,3,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,46,11/11/2019,11/17/2019,9,9,,0,3,0,0,3,0,0,0,0,3,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,47,11/18/2019,11/24/2019,0,0,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,48,11/25/2019,12/1/2019,0,0,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,49,12/2/2019,12/8/2019,4,4,,0,0,0,0,0,0,0,0,0,0,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,50,12/9/2019,12/15/2019,8,8,,1,1,0,0,2,0,1,0,1,3,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,51,12/16/2019,12/22/2019,8,8,,0,1,0,0,1,0,1,0,1,2,,No Report
Burkina Faso,African Region of WHO,Western Africa,2019,52,12/23/2019,12/29/2019,3,3,,0,0,0,0,0,0,1,0,1,1,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,1,12/31/2018,1/6/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,2,1/7/2019,1/13/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,3,1/14/2019,1/20/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,4,1/21/2019,1/27/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,5,1/28/2019,2/3/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,6,2/4/2019,2/10/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,7,2/11/2019,2/17/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,8,2/18/2019,2/24/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,9,2/25/2019,3/3/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,10,3/4/2019,3/10/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,11,3/11/2019,3/17/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,12,3/18/2019,3/24/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,13,3/25/2019,3/31/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,14,4/1/2019,4/7/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,15,4/8/2019,4/14/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,16,4/15/2019,4/21/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,17,4/22/2019,4/28/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,18,4/29/2019,5/5/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,19,5/6/2019,5/12/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,20,5/13/2019,5/19/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,21,5/20/2019,5/26/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,22,5/27/2019,6/2/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,23,6/3/2019,6/9/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,24,6/10/2019,6/16/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,25,6/17/2019,6/23/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,26,6/24/2019,6/30/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,27,7/1/2019,7/7/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,28,7/8/2019,7/14/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,29,7/15/2019,7/21/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,30,7/22/2019,7/28/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,31,7/29/2019,8/4/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,32,8/5/2019,8/11/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,33,8/12/2019,8/18/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,34,8/19/2019,8/25/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,35,8/26/2019,9/1/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,36,9/2/2019,9/8/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,37,9/9/2019,9/15/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,38,9/16/2019,9/22/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,39,9/23/2019,9/29/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,40,9/30/2019,10/6/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,41,10/7/2019,10/13/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,42,10/14/2019,10/20/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,43,10/21/2019,10/27/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,44,10/28/2019,11/3/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,45,11/4/2019,11/10/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,46,11/11/2019,11/17/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,47,11/18/2019,11/24/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,48,11/25/2019,12/1/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,49,12/2/2019,12/8/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,50,12/9/2019,12/15/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,51,12/16/2019,12/22/2019,,,,,,,,,,,,,,,No Report
Cabo Verde,African Region of WHO,Western Africa,2019,52,12/23/2019,12/29/2019,,,,,,,,,,,,,,,No Report
Cameroon,African Region of WHO,Middle Africa,2019,1,12/31/2018,1/6/2019,0,0,,0,0,0,0,0,0,0,0,0,0,,No Report
Cameroon,African Region of WHO,Middle Africa,2019,2,1/7/2019,1/13/2019,27,27,,1,0,0,0,1,0,0,0,0,1,,No Report
Cameroon,African Region of WHO,Middle Africa,2019,3,1/14/2019,1/20/2019,20,20,,0,1,0,0,1,0,0,0,0,1,,No Report
Cameroon,African Region of WHO,Middle Africa,2019,4,1/21/2019,1/27/2019,18,18,,0,0,0,0,0,1,0,0,1,1,,No Report
Cameroon,African Region of WHO,Middle Africa,2019,5,1/28/2019,2/3/2019,20,20,,0,0,0,0,0,1,0,0,1,1,,No Report
Cameroon,African Region of WHO,Middle Africa,2019,6,2/4/2019,2/10/2019,25,25,,0,0,0,0,0,0,0,0,0,0,,No Report
Cameroon,African Region of WHO,Middle Africa,2019,7,2/11/2019,2/17/2019,11,11,,4,0,0,0,4,0,0,1,1,5,,No Report
Cameroon,African Region of WHO,Middle Africa,2019,8,2/18/2019,2/24/2019,19,19,,0,0,0,0,0,0,1,0,1,1,,No Report
Cameroon,African Region of WHO,Middle Africa,2019,9,2/25/2019,3/3/2019,1,1,,0,0,0,0,0,0,0,0,0,0,,No Report
Cameroon,African Region of WHO,Middle Africa,2019,10,3/4/2019,3/10/2019,13,13,,0,0,0,0,0,0,0,0,0,0,,No Report
Cameroon,African Region of WHO,Middle Africa,2019,11,3/11/2019,3/17/2019,26,26,,0,0,0,0,0,0,0,0,0,0,,No Report
Cameroon,African Region of WHO,Middle Africa,2019,12,3/18/2019,3/24/2019,31,31,,0,0,0,2,2,0,3,0,3,5,,No Report
