,Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Score,Footnote,Measure Start Date,Measure End Date,Location
49,050084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,1800 N CALIFORNIA ST,STOCKTON,CA,95204,SAN JOAQUIN,(209) 943-2000,SSI - Abdominal Hysterectomy,HAI_4_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-121.289251 37.970737)
50,050101,SUTTER SOLANO MEDICAL CENTER,300 HOSPITAL DR,VALLEJO,CA,94589,SOLANO,(707) 554-5280,MRSA Bacteremia: Lower Confidence Limit,HAI_5_CILOWER,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-122.238105 38.130893)
51,050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,(323) 268-5000,Clostridium Difficile (C.Diff): Upper Confidence Limit,HAI_6_CIUPPER,Better than the National Benchmark,0.432,,07/01/2018,06/30/2019,
52,050104,SAINT FRANCIS MEDICAL CENTER,3630 EAST IMPERIAL HIGHWAY,LYNWOOD,CA,90262,LOS ANGELES,(310) 900-8900,SSI - Abdominal Hysterectomy,HAI_4_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-118.203834 33.931016)
53,050118,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH STREET,MANTECA,CA,95336,SAN JOAQUIN,(209) 823-3111,SSI - Colon Surgery,HAI_3_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-121.19691 37.801087)
54,321310,HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS,1397 WEIMER ROAD,TAOS,NM,87571,TAOS,(575) 758-8883,MRSA Bacteremia,HAI_5_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-105.577458 36.367397)
55,050132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,LOS ANGELES,(626) 289-5454,SSI - Colon Surgery,HAI_3_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-118.105572 34.102461)
56,050137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA ST,PANORAMA CITY,CA,91402,LOS ANGELES,(818) 375-3333,SSI - Abdominal Hysterectomy: Observed Cases,HAI_4_NUMERATOR,Not Available,1,,07/01/2018,06/30/2019,POINT (-118.430299 34.219847)
57,320011,PRESBYTERIAN ESPANOLA HOSPITAL,1010 SPRUCE STREET,ESPANOLA,NM,87532,RIO ARRIBA,(505) 753-1502,MRSA Bacteremia,HAI_5_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-106.086683 35.997101)
58,05020F,NH Camp Pendleton,200 Mercy Circle,Camp Pendleton,CA,92055,SAN DIEGO,(760) 725-1288,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Not Available,Not Available,5,07/01/2018,06/30/2019,POINT (-117.389926 33.221373)
59,05022F,NMC San Diego,34800 Bob Wilson Drive,San Diego,CA,92134,SAN DIEGO,(619) 532-6400,MRSA Bacteremia,HAI_5_SIR,Not Available,Not Available,5,07/01/2018,06/30/2019,POINT (-117.143035 32.726723)
60,310009,CLARA MAASS MEDICAL CENTER,ONE CLARA MAASS DRIVE,BELLEVILLE,NJ,7109,ESSEX,(973) 450-2002,SSI - Abdominal Hysterectomy: Upper Confidence Limit,HAI_4_CIUPPER,Not Available,Not Available,13,07/01/2018,06/30/2019,
61,330136,BASSETT HEALTHCARE,ONE ATWELL ROAD,COOPERSTOWN,NY,13326,OTSEGO,(607) 547-3456,MRSA Bacteremia: Upper Confidence Limit,HAI_5_CIUPPER,No Different than National Benchmark,3.982,,07/01/2018,06/30/2019,
62,050239,GLENDALE ADVENTIST MEDICAL CENTER,1509 E WILSON TERRACE,GLENDALE,CA,91206,LOS ANGELES,(818) 409-8202,SSI - Colon Surgery: Number of Procedures,HAI_3_DOPC,No Different than National Benchmark,111,,07/01/2018,06/30/2019,POINT (-118.230354 34.149161)
63,050279,HI-DESERT MEDICAL CENTER,6601 WHITE FEATHER ROAD,JOSHUA TREE,CA,92252,SAN BERNARDINO,(760) 366-3711,SSI - Colon Surgery,HAI_3_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-116.276709 34.132676)
64,341320,ALLEGHANY COUNTY MEMORIAL HOSPITAL,617 DOCTORS STREET,SPARTA,NC,28675,ALLEGHANY,(336) 372-5511,SSI - Abdominal Hysterectomy: Number of Procedures,HAI_4_DOPC,Not Available,Not Available,5,07/01/2018,06/30/2019,
65,340145,ATRIUM HEALTH LINCOLN,433 MCALISTER RD,LINCOLNTON,NC,28092,LINCOLN,(980) 212-2000,MRSA Bacteremia,HAI_5_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-81.201314 35.488387)
66,050357,GOLETA VALLEY COTTAGE HOSPITAL,351 S PATTERSON AVE,SANTA BARBARA,CA,93111,SANTA BARBARA,(805) 967-3411,SSI - Abdominal Hysterectomy: Lower Confidence Limit,HAI_4_CILOWER,Not Available,Not Available,12,07/01/2018,06/30/2019,POINT (-119.809322 34.433699)
67,050360,MARINHEALTH MEDICAL CENTER,"250 BON AIR ROAD, PO BOX 8010",GREENBRAE,CA,94904,MARIN,(415) 925-7900,SSI - Abdominal Hysterectomy,HAI_4_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-122.535897 37.948884)
68,050407,CHINESE HOSPITAL,845 JACKSON ST,SAN FRANCISCO,CA,94133,SAN FRANCISCO,(415) 982-2400,Clostridium Difficile (C.Diff): Patient Days,HAI_6_DOPC,Worse than the National Benchmark,6060,,07/01/2018,06/30/2019,POINT (-122.40925 37.795695)
69,050423,PALO VERDE HOSPITAL,250 NORTH FIRST STREET,BLYTHE,CA,92225,RIVERSIDE,(760) 922-4115,MRSA Bacteremia,HAI_5_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-114.595479 33.61245)
70,050441,STANFORD HEALTH CARE,300 PASTEUR DRIVE,STANFORD,CA,94305,SANTA CLARA,(650) 723-5708,MRSA Bacteremia,HAI_5_SIR,Better than the National Benchmark,0.346,,07/01/2018,06/30/2019,POINT (-122.176664 37.433138)
71,320059,NORTHERN NAVAJO MEDICAL CENTER,US HWY 491 NORTH,SHIPROCK,NM,87420,SAN JUAN,(505) 368-6001,SSI - Abdominal Hysterectomy: Upper Confidence Limit,HAI_4_CIUPPER,Not Available,Not Available,13,07/01/2018,06/30/2019,
72,050546,PORTERVILLE DEVELOPMENTAL CENTER,26501 AVENUE 140,PORTERVILLE,CA,93257,TULARE,(559) 782-2222,MRSA Bacteremia: Upper Confidence Limit,HAI_5_CIUPPER,Not Available,Not Available,19,07/01/2018,06/30/2019,POINT (-118.980483 36.043908)
73,050567,MISSION HOSPITAL REGIONAL MED CENTER,27700 MEDICAL CENTER RD,MISSION VIEJO,CA,92691,ORANGE,(949) 364-1400,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,No Different than National Benchmark,2.424,,07/01/2018,06/30/2019,
74,050586,CHINO VALLEY MEDICAL CENTER,5451 WALNUT AVE,CHINO,CA,91710,SAN BERNARDINO,(909) 627-6111,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0,,07/01/2018,06/30/2019,POINT (-117.685988 34.026351)
75,050597,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,250 S GRAND AVE,GLENDORA,CA,91740,LOS ANGELES,(626) 963-8411,MRSA Bacteremia: Upper Confidence Limit,HAI_5_CIUPPER,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-117.872534 34.133196)
76,050608,DELANO REGIONAL MEDICAL CENTER,1401 GARCES HIGHWAY,DELANO,CA,93215,KERN,(661) 725-4800,SSI - Abdominal Hysterectomy,HAI_4_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-119.238878 35.761418)
77,291314,SOUTH LYON MEDICAL CENTER,213 S WHITACRE/PO BOX 940,YERINGTON,NV,89447,LYON,(775) 781-3761,SSI - Abdominal Hysterectomy: Predicted Cases,HAI_4_ELIGCASES,Not Available,Not Available,5,07/01/2018,06/30/2019,
78,050674,KAISER FOUNDATION HOSP SO SACRAMENTO,6600 BRUCEVILLE ROAD,SACRAMENTO,CA,95823,SACRAMENTO,(916) 688-2000,SSI - Abdominal Hysterectomy: Predicted Cases,HAI_4_ELIGCASES,Not Available,0.761,,07/01/2018,06/30/2019,POINT (-121.423802 38.471647)
79,050737,GARFIELD MEDICAL CENTER,525 N GARFIELD AVE,MONTEREY PARK,CA,91754,LOS ANGELES,(626) 573-2222,SSI - Abdominal Hysterectomy,HAI_4_SIR,No Different than National Benchmark,0.000,,07/01/2018,06/30/2019,POINT (-118.122906 34.067864)
80,050739,CENTINELA HOSPITAL MEDICAL CENTER,555 EAST HARDY STREET,INGLEWOOD,CA,90301,LOS ANGELES,(310) 673-4660,SSI - Abdominal Hysterectomy,HAI_4_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-118.348214 33.949086)
81,050761,PROVIDENCE TARZANA MEDICAL CENTER,18321 CLARK STREET,TARZANA,CA,91356,LOS ANGELES,(818) 881-0800,SSI - Colon Surgery,HAI_3_SIR,No Different than National Benchmark,0.241,,07/01/2018,06/30/2019,POINT (-118.53183 34.169777)
82,050769,HOAG ORTHOPEDIC INSTITUTE,16250 SAND CANYON AVENUE,IRVINE,CA,92618,ORANGE,(949) 727-5000,MRSA Bacteremia,HAI_5_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-117.774478 33.66095)
83,050775,TEMECULA VALLEY HOSPITAL,31700 TEMECULA PKWY,TEMECULA,CA,92592,RIVERSIDE,(951) 331-2200,MRSA Bacteremia,HAI_5_SIR,No Different than National Benchmark,2.169,,07/01/2018,06/30/2019,POINT (-117.105744 33.47929)
84,050778,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,11234 ANDERSON STREET SUITE A,LOMA LINDA,CA,92354,SAN BERNARDINO,(909) 558-8000,SSI - Colon Surgery: Number of Procedures,HAI_3_DOPC,Not Available,2,,07/01/2018,06/30/2019,POINT (-117.261122 34.049482)
85,051303,MAMMOTH HOSPITAL,85 SIERRA PARK ROAD PO BOX 660,MAMMOTH LAKES,CA,93546,MONO,(760) 934-3311,MRSA Bacteremia,HAI_5_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-118.963911 37.645071)
86,051310,ADVENTIST HEALTH HOWARD MEMORIAL,1 MARCELA DR,WILLITS,CA,95490,MENDOCINO,(707) 456-3031,MRSA Bacteremia,HAI_5_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-123.339971 39.389777)
87,051311,ORCHARD HOSPITAL,240 SPRUCE STREET,GRIDLEY,CA,95948,BUTTE,(530) 846-5671,MRSA Bacteremia,HAI_5_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-121.689717 39.366974)
88,051317,ADVENTIST HEALTH CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,CA,95422,LAKE,(707) 994-6486,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0,,07/01/2018,06/30/2019,
89,051320,BANNER LASSEN MEDICAL CENTER,1800 SPRING RIDGE DRIVE,SUSANVILLE,CA,96130,LASSEN,(530) 252-2000,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,Not Available,0.086,,07/01/2018,06/30/2019,POINT (-120.627429 40.438197)
90,053300,VALLEY CHILDREN'S HOSPITAL,9300 VALLEY CHILDRENS PLACE,MADERA,CA,93636,MADERA,(559) 353-5116,MRSA Bacteremia,HAI_5_SIR,Not Available,Not Available,19,07/01/2018,06/30/2019,POINT (-119.800266 36.884502)
91,060009,LUTHERAN MEDICAL CENTER,8300 W 38TH AVE,WHEAT RIDGE,CO,80033,JEFFERSON,(303) 425-4500,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,No Different than National Benchmark,2.346,,07/01/2018,06/30/2019,POINT (-105.089291 39.769328)
92,060022,UCH-MEMORIAL HEALTH SYSTEM,1400 E BOULDER ST,COLORADO SPRINGS,CO,80909,EL PASO,(719) 365-5000,MRSA Bacteremia,HAI_5_SIR,No Different than National Benchmark,0.650,,07/01/2018,06/30/2019,POINT (-104.799951 38.838812)
93,060027,BOULDER COMMUNITY HEALTH,4747 ARAPAHOE AVENUE,BOULDER,CO,80303,BOULDER,(303) 415-7000,SSI - Abdominal Hysterectomy,HAI_4_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-105.236337 40.014808)
94,060030,MCKEE MEDICAL CENTER,2000 BOISE AVE,LOVELAND,CO,80538,LARIMER,(970) 669-4640,SSI - Abdominal Hysterectomy,HAI_4_SIR,No Different than National Benchmark,0.000,,07/01/2018,06/30/2019,POINT (-105.053599 40.413679)
95,060032,ROSE MEDICAL CENTER,4567 E 9TH AVE,DENVER,CO,80220,DENVER,(303) 320-2121,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,No Different than National Benchmark,2,,07/01/2018,06/30/2019,POINT (-104.934011 39.731076)
96,060071,DELTA COUNTY MEMORIAL HOSPITAL,1501 E 3RD ST,DELTA,CO,81416,DELTA,(970) 874-7681,SSI - Abdominal Hysterectomy,HAI_4_SIR,Not Available,Not Available,12,07/01/2018,06/30/2019,POINT (-108.047515 38.743166)
97,060096,VAIL HEALTH HOSPITAL,181 W MEADOW DR,VAIL,CO,81657,EAGLE,(970) 476-2451,SSI - Colon Surgery,HAI_3_SIR,Not Available,Not Available,13,07/01/2018,06/30/2019,POINT (-106.382866 39.642949)
98,060100,AURORA SOUTH HOSPITAL AND MEDICAL CENTER,1501 S POTOMAC ST,AURORA,CO,80012,ARAPAHOE,(303) 873-5511,SSI - Colon Surgery,HAI_3_SIR,No Different than National Benchmark,0.649,,07/01/2018,06/30/2019,POINT (-104.83115 39.689346)
