,price,facility,address,condition,zip,radius,city,cluster,facility_type,facility_zip
60,19440.0,UCSF Medical Center at Mount Zion,"1600 Divisadero St, San Francisco, CA 94115, USA",sleep,94016,25,San Francisco,0,clinic,
66,500.0,"Virtual Imaging Miami, Hialeah Sleep Lab","9835 SW 72nd St., Ste. 107, Miami FL",sleep,33018,25,Miami,0,clinic,
67,600.0,Florida Sleep & Neuro Diagnostic Services Inc.,"14394 Commerce Way, Miami Lakes FL",sleep,33018,25,Miami,0,clinic,
68,600.0,United Sleep Diagnostics Pembroke Pines,"700 N. Hiatus Rd., Ste. 205, Pembroke Pines FL",sleep,33018,25,Miami,0,clinic,
69,600.0,United Sleep Diagnostics Hollywood,"3702 Washington St., Ste. 450, Hollywood FL",sleep,33018,25,Miami,0,clinic,
70,650.0,Sleep-Wake Disorders Center of Miami,"7325 SW 63rd Ave., Ste. 203, Miami FL",sleep,33018,25,Miami,1,hospital,
71,781.0,Holy Cross Hospital,"4725 N Federal Hwy, Fort Lauderdale, FL 33308, United States",sleep,33018,25,Miami,0,clinic,
72,800.0,"Pulmonary Physicians of South Florida, LLC","242 NW LeJeune Rd., 2nd floor, Miami FL",sleep,33018,25,Miami,0,clinic,
73,800.0,"Pulmonary Physicians of South Florida, LLC","8600 SW 92nd St., Miami FL",sleep,33018,25,Miami,0,clinic,
74,812.0,Sunrise Medical Group  Sleep Diagnostics,"7369 Sheridan St., Ste. 302B, Hollywood FL",sleep,33018,25,Miami,0,clinic,
75,825.0,Choice Physicians of South Florida,"1409 SE 1st Ave., Ft. Lauderdale FL",sleep,33018,25,Miami,0,clinic,
76,1050.0,Broward Health Medical Center,"1600 S. Andrews Ave., Ft. Lauderdale FL",sleep,33018,25,Miami,0,clinic,
77,1262.0,Holy Cross Hospital,"4725 N. Federal Hwy., Fort Lauderdale FL",sleep,33018,25,Miami,0,clinic,
78,1500.0,United Health Systems,"10220 State Road 84, Ste. 5, Davie FL",sleep,33018,25,Miami,2,hospital,
79,3050.0,University of Miami Health Center UHealth Sleep Center,"900 NW 17th St., 5th floor, Miami FL",sleep,33018,25,Miami,2,hospital,
80,3449.0,University of Miami Health Center UHealth Sleep Center at Plantation,"8100 SW 10th St., Bldg. 3, Plantation FL",sleep,33018,25,Miami,2,hospital,
81,3449.0,University of Miami Health Center UHealth Sleep Center at Kendall,"8932 SW 97th Ave., Miami FL",sleep,33018,25,Miami,2,hospital,
82,3480.0,Baptist Sleep Center at Galloway,"7400 SW 87th Ave., Ste. 220A, Miami FL",sleep,33018,25,Miami,2,hospital,
83,4926.0,University of Miami Hospital,"1400 N.W. 12th Ave., Miami FL",sleep,33018,25,Miami,2,hospital,
84,4926.0,University of Miami Health System at Kendall,"8932 S.W. 97th Ave., Miami FL",sleep,33018,25,Miami,2,hospital,
85,1450.0,International Institute-Sleep,"7500 NW 5th St #114, Plantation, FL 33317, United States",sleep,33018,25,Miami,0,clinic,
86,1462.0,Baptist Hospital,"8900 N Kendall Dr, Miami, FL 33176, USA",sleep,33018,25,Miami,0,clinic,
91,173.0,Charlton Methodist Hospital,"3500 W. Wheatland Rd., Dallas TX",sleep,75001,25,Dallas,0,clinic,
92,750.0,4 Better Sleep Center - Dallas,"8722 Greenville Ave., Ste. #102, Dallas TX",sleep,75001,25,Dallas,2,hospital,
93,800.0,Southlake Neurology & Neurophysiology Clinic,"321 W. Southlake Blvd., Ste. #180, Southlake TX",sleep,75001,25,Dallas,0,clinic,
94,850.0,Comprehensive Sleep Medicine,"17080 Dallas Pkwy., Dallas TX",sleep,75001,25,Dallas,0,clinic,
95,895.0,Dallas Center for Sleep Disorders,"6313 Preston Rd., Ste. 400, Plano TX",sleep,75001,25,Dallas,1,hospital,
96,900.0,Medical Sleep Solutions PLLC,"1001 Robbie Mince Way, Dallas TX",sleep,75001,25,Dallas,0,clinic,
97,955.0,Texas Neurology Sleep Disorders Center,"7001 Preston Rd., Ste. 404, Dallas TX",sleep,75001,25,Dallas,1,hospital,
98,1100.0,Texas Pulmonary Sleep Center,"907B Medical Centre Dr., Arlington TX",sleep,75001,25,Dallas,2,hospital,
99,1827.0,Baylor Scott and White Lake Pointe,"6800 Scenic Dr., Lake Pointe TX",sleep,75001,25,Dallas,0,clinic,
100,2979.0,Baylor Scott and White Plano,"4700 Alliance Blvd., Plano TX",sleep,75001,25,Dallas,0,clinic,
101,2979.0,Baylor Scott and White Grapevine,"1650 W. College St., Grapevine TX",sleep,75001,25,Dallas,0,clinic,
102,3072.0,Methodist Medical Center of Dallas,"1441 N. Beckley Ave., Dallas TX",sleep,75001,25,Dallas,0,clinic,
103,3364.0,Texas Health Presbyterian Rockwall,"3150 Horizon Rd., Rockwall TX",sleep,75001,25,Dallas,2,hospital,
104,3499.0,Texas Health Presbyterian Plano,"6200 W. Parker Rd., Plano TX",sleep,75001,25,Dallas,2,hospital,
105,3499.0,Texas Health Presbyterian Dallas,"8200 Walnut Hill Ln., Dallas TX",sleep,75001,25,Dallas,2,hospital,
106,4965.0,Baylor Scott and White Carrollton,"4343 N. Josey Ln., Carrollton TX",sleep,75001,25,Dallas,0,clinic,
107,4965.0,Sleep Study Center Baylor University Medical Center at Dallas,"3600 Gaston Ave., Barnett Tower, Ste. 801, Dallas TX",sleep,75001,25,Dallas,0,clinic,
