State,City,Facility ID,Facility Name,Address,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Score,Footnote,Measure Start Date,Measure End Date,Location
AZ,GREEN VALLEY,030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,85614,PIMA,(520) 393-4700,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Not Available,0.561,3,07/01/2018,06/30/2019,POINT (-111.010966 31.807943)
CA,PARADISE,050225,ADVENTIST HEALTH FEATHER RIVER,5974 PENTZ ROAD,95969,BUTTE,(530) 877-9361,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,No Different than National Benchmark,2.525,3,07/01/2018,06/30/2019,POINT (-121.572305 39.756161)
AZ,WILLCOX,031302,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",901 WEST REX ALLEN DRIVE,85643,COCHISE,(520) 384-3541,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,HAI_1_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-109.837613 32.264268)
AK,Fort Wainwright,02014F,Bassett ACH (FT Wainwright),4076 Neely Road,99703,FAIRBANKS NORTH STAR,(907) 361-4000,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,HAI_2_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-147.664767 64.827788)
CA,PARADISE,050225,ADVENTIST HEALTH FEATHER RIVER,5974 PENTZ ROAD,95969,BUTTE,(530) 877-9361,Central Line Associated Bloodstream Infection (ICU + select Wards): Predicted Cases,HAI_1_ELIGCASES,Not Available,0.49,3,07/01/2018,06/30/2019,POINT (-121.572305 39.756161)
AK,BARROW,021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,7000 UULA ST,99723,NORTH SLOPE BOROUH,(907) 852-4611,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,HAI_2_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-156.72732 71.298135)
AZ,WILLCOX,031302,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",901 WEST REX ALLEN DRIVE,85643,COCHISE,(520) 384-3541,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,Not Available,0.007,3,07/01/2018,06/30/2019,POINT (-109.837613 32.264268)
AK,HOMER,021313,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,99603,KENAI PENINSULA,(907) 235-8101,SSI - Colon Surgery: Number of Procedures,HAI_3_DOPC,Not Available,3.0,3,07/01/2018,06/30/2019,POINT (-151.550296 59.652133)
AZ,WILLCOX,031302,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",901 WEST REX ALLEN DRIVE,85643,COCHISE,(520) 384-3541,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,HAI_2_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-109.837613 32.264268)
AK,Fort Wainwright,02014F,Bassett ACH (FT Wainwright),4076 Neely Road,99703,FAIRBANKS NORTH STAR,(907) 361-4000,Central Line Associated Bloodstream Infection (ICU + select Wards): Predicted Cases,HAI_1_ELIGCASES,Not Available,0.015,3,07/01/2018,06/30/2019,POINT (-147.664767 64.827788)
AZ,WILLCOX,031302,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",901 WEST REX ALLEN DRIVE,85643,COCHISE,(520) 384-3541,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,HAI_2_DOPC,Not Available,49.0,3,07/01/2018,06/30/2019,POINT (-109.837613 32.264268)
AZ,GREEN VALLEY,030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,85614,PIMA,(520) 393-4700,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Not Available,2078.0,3,07/01/2018,06/30/2019,POINT (-111.010966 31.807943)
AZ,GREEN VALLEY,030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,85614,PIMA,(520) 393-4700,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,HAI_2_DOPC,Not Available,407.0,3,07/01/2018,06/30/2019,POINT (-111.010966 31.807943)
AR,CLINTON,041313,OZARK HEALTH,2500 HIGHWAY 65 SOUTH,72031,VAN BUREN,(501) 745-7000,Clostridium Difficile (C.Diff): Patient Days,HAI_6_DOPC,Not Available,467.0,3,07/01/2018,06/30/2019,POINT (-92.449913 35.559375)
CA,PARADISE,050225,ADVENTIST HEALTH FEATHER RIVER,5974 PENTZ ROAD,95969,BUTTE,(530) 877-9361,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,HAI_2_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-121.572305 39.756161)
AZ,WILLCOX,031302,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",901 WEST REX ALLEN DRIVE,85643,COCHISE,(520) 384-3541,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-109.837613 32.264268)
CA,PARADISE,050225,ADVENTIST HEALTH FEATHER RIVER,5974 PENTZ ROAD,95969,BUTTE,(530) 877-9361,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,HAI_1_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-121.572305 39.756161)
AZ,WILLCOX,031302,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",901 WEST REX ALLEN DRIVE,85643,COCHISE,(520) 384-3541,Central Line Associated Bloodstream Infection (ICU + select Wards): Predicted Cases,HAI_1_ELIGCASES,Not Available,0.006,3,07/01/2018,06/30/2019,POINT (-109.837613 32.264268)
AZ,GOODYEAR,030138,WESTERN REGIONAL MEDICAL CENTER,14200 WEST CELEBRATE LIFE WAY,85338,MARICOPA,(623) 207-3518,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Not Available,0.295,3,07/01/2018,06/30/2019,POINT (-112.362571 33.452804)
AR,CLINTON,041313,OZARK HEALTH,2500 HIGHWAY 65 SOUTH,72031,VAN BUREN,(501) 745-7000,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-92.449913 35.559375)
AZ,GREEN VALLEY,030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,85614,PIMA,(520) 393-4700,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,Not Available,0.04,3,07/01/2018,06/30/2019,POINT (-111.010966 31.807943)
AZ,GOODYEAR,030138,WESTERN REGIONAL MEDICAL CENTER,14200 WEST CELEBRATE LIFE WAY,85338,MARICOPA,(623) 207-3518,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-112.362571 33.452804)
AZ,GREEN VALLEY,030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,85614,PIMA,(520) 393-4700,Clostridium Difficile (C.Diff): Patient Days,HAI_6_DOPC,Not Available,2078.0,3,07/01/2018,06/30/2019,POINT (-111.010966 31.807943)
CA,PARADISE,050225,ADVENTIST HEALTH FEATHER RIVER,5974 PENTZ ROAD,95969,BUTTE,(530) 877-9361,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,HAI_2_DOPC,Not Available,1060.0,3,07/01/2018,06/30/2019,POINT (-121.572305 39.756161)
AZ,GOODYEAR,030138,WESTERN REGIONAL MEDICAL CENTER,14200 WEST CELEBRATE LIFE WAY,85338,MARICOPA,(623) 207-3518,Clostridium Difficile (C.Diff): Patient Days,HAI_6_DOPC,Not Available,761.0,3,07/01/2018,06/30/2019,POINT (-112.362571 33.452804)
AR,LAKE VILLAGE,041328,CHICOT MEMORIAL MEDICAL CENTER,2729 SOUTH HIGHWAY 65 & 82,71653,CHICOT,(870) 265-5351,Clostridium Difficile (C.Diff): Patient Days,HAI_6_DOPC,Not Available,1529.0,3,07/01/2018,06/30/2019,POINT (-91.290353 33.305642)
AZ,GOODYEAR,030138,WESTERN REGIONAL MEDICAL CENTER,14200 WEST CELEBRATE LIFE WAY,85338,MARICOPA,(623) 207-3518,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,Not Available,0.032,3,07/01/2018,06/30/2019,POINT (-112.362571 33.452804)
AZ,GREEN VALLEY,030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,85614,PIMA,(520) 393-4700,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-111.010966 31.807943)
AR,LAKE VILLAGE,041328,CHICOT MEMORIAL MEDICAL CENTER,2729 SOUTH HIGHWAY 65 & 82,71653,CHICOT,(870) 265-5351,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-91.290353 33.305642)
AZ,GOODYEAR,030138,WESTERN REGIONAL MEDICAL CENTER,14200 WEST CELEBRATE LIFE WAY,85338,MARICOPA,(623) 207-3518,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,Not Available,1.0,3,07/01/2018,06/30/2019,POINT (-112.362571 33.452804)
AK,Fort Wainwright,02014F,Bassett ACH (FT Wainwright),4076 Neely Road,99703,FAIRBANKS NORTH STAR,(907) 361-4000,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,HAI_2_DOPC,Not Available,37.0,3,07/01/2018,06/30/2019,POINT (-147.664767 64.827788)
CA,PARADISE,050225,ADVENTIST HEALTH FEATHER RIVER,5974 PENTZ ROAD,95969,BUTTE,(530) 877-9361,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,No Different than National Benchmark,4.0,3,07/01/2018,06/30/2019,POINT (-121.572305 39.756161)
CA,PARADISE,050225,ADVENTIST HEALTH FEATHER RIVER,5974 PENTZ ROAD,95969,BUTTE,(530) 877-9361,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-121.572305 39.756161)
AZ,GREEN VALLEY,030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,85614,PIMA,(520) 393-4700,Central Line Associated Bloodstream Infection (ICU + select Wards): Predicted Cases,HAI_1_ELIGCASES,Not Available,0.101,3,07/01/2018,06/30/2019,POINT (-111.010966 31.807943)
CA,PARADISE,050225,ADVENTIST HEALTH FEATHER RIVER,5974 PENTZ ROAD,95969,BUTTE,(530) 877-9361,Clostridium Difficile (C.Diff): Patient Days,HAI_6_DOPC,No Different than National Benchmark,5340.0,3,07/01/2018,06/30/2019,POINT (-121.572305 39.756161)
AZ,GREEN VALLEY,030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,85614,PIMA,(520) 393-4700,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,HAI_1_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-111.010966 31.807943)
AZ,WILLCOX,031302,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",901 WEST REX ALLEN DRIVE,85643,COCHISE,(520) 384-3541,Central Line Associated Bloodstream Infection: Number of Device Days,HAI_1_DOPC,Not Available,23.0,3,07/01/2018,06/30/2019,POINT (-109.837613 32.264268)
AR,CLINTON,041313,OZARK HEALTH,2500 HIGHWAY 65 SOUTH,72031,VAN BUREN,(501) 745-7000,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-92.449913 35.559375)
AZ,GOODYEAR,030138,WESTERN REGIONAL MEDICAL CENTER,14200 WEST CELEBRATE LIFE WAY,85338,MARICOPA,(623) 207-3518,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Not Available,761.0,3,07/01/2018,06/30/2019,POINT (-112.362571 33.452804)
AK,HOMER,021313,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,99603,KENAI PENINSULA,(907) 235-8101,SSI - Colon Surgery: Observed Cases,HAI_3_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-151.550296 59.652133)
AZ,GREEN VALLEY,030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,85614,PIMA,(520) 393-4700,Catheter Associated Urinary Tract Infections (ICU + select Wards): Predicted Cases,HAI_2_ELIGCASES,Not Available,0.212,3,07/01/2018,06/30/2019,POINT (-111.010966 31.807943)
CA,PARADISE,050225,ADVENTIST HEALTH FEATHER RIVER,5974 PENTZ ROAD,95969,BUTTE,(530) 877-9361,Catheter Associated Urinary Tract Infections (ICU + select Wards): Predicted Cases,HAI_2_ELIGCASES,Not Available,0.747,3,07/01/2018,06/30/2019,POINT (-121.572305 39.756161)
AZ,GREEN VALLEY,030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,85614,PIMA,(520) 393-4700,Central Line Associated Bloodstream Infection: Number of Device Days,HAI_1_DOPC,Not Available,162.0,3,07/01/2018,06/30/2019,POINT (-111.010966 31.807943)
CA,PARADISE,050225,ADVENTIST HEALTH FEATHER RIVER,5974 PENTZ ROAD,95969,BUTTE,(530) 877-9361,Clostridium Difficile (C.Diff),HAI_6_SIR,No Different than National Benchmark,1.584,3,07/01/2018,06/30/2019,POINT (-121.572305 39.756161)
CA,PARADISE,050225,ADVENTIST HEALTH FEATHER RIVER,5974 PENTZ ROAD,95969,BUTTE,(530) 877-9361,Central Line Associated Bloodstream Infection: Number of Device Days,HAI_1_DOPC,Not Available,686.0,3,07/01/2018,06/30/2019,POINT (-121.572305 39.756161)
AR,CLINTON,041313,OZARK HEALTH,2500 HIGHWAY 65 SOUTH,72031,VAN BUREN,(501) 745-7000,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Not Available,467.0,3,07/01/2018,06/30/2019,POINT (-92.449913 35.559375)
CA,PARADISE,050225,ADVENTIST HEALTH FEATHER RIVER,5974 PENTZ ROAD,95969,BUTTE,(530) 877-9361,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,Not Available,0.207,3,07/01/2018,06/30/2019,POINT (-121.572305 39.756161)
AK,Fort Wainwright,02014F,Bassett ACH (FT Wainwright),4076 Neely Road,99703,FAIRBANKS NORTH STAR,(907) 361-4000,Catheter Associated Urinary Tract Infections (ICU + select Wards): Predicted Cases,HAI_2_ELIGCASES,Not Available,0.018,3,07/01/2018,06/30/2019,POINT (-147.664767 64.827788)
AZ,WILLCOX,031302,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",901 WEST REX ALLEN DRIVE,85643,COCHISE,(520) 384-3541,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Not Available,337.0,3,07/01/2018,06/30/2019,POINT (-109.837613 32.264268)
AZ,GREEN VALLEY,030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,85614,PIMA,(520) 393-4700,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-111.010966 31.807943)
AK,BARROW,021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,7000 UULA ST,99723,NORTH SLOPE BOROUH,(907) 852-4611,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,HAI_2_DOPC,Not Available,35.0,3,07/01/2018,06/30/2019,POINT (-156.72732 71.298135)
AR,LAKE VILLAGE,041328,CHICOT MEMORIAL MEDICAL CENTER,2729 SOUTH HIGHWAY 65 & 82,71653,CHICOT,(870) 265-5351,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Not Available,0.338,3,07/01/2018,06/30/2019,POINT (-91.290353 33.305642)
AK,Fort Wainwright,02014F,Bassett ACH (FT Wainwright),4076 Neely Road,99703,FAIRBANKS NORTH STAR,(907) 361-4000,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,HAI_1_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-147.664767 64.827788)
AK,BARROW,021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,7000 UULA ST,99723,NORTH SLOPE BOROUH,(907) 852-4611,Catheter Associated Urinary Tract Infections (ICU + select Wards): Predicted Cases,HAI_2_ELIGCASES,Not Available,0.023,3,07/01/2018,06/30/2019,POINT (-156.72732 71.298135)
AZ,WILLCOX,031302,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",901 WEST REX ALLEN DRIVE,85643,COCHISE,(520) 384-3541,Catheter Associated Urinary Tract Infections (ICU + select Wards): Predicted Cases,HAI_2_ELIGCASES,Not Available,0.032,3,07/01/2018,06/30/2019,POINT (-109.837613 32.264268)
AR,CLINTON,041313,OZARK HEALTH,2500 HIGHWAY 65 SOUTH,72031,VAN BUREN,(501) 745-7000,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Not Available,0.212,3,07/01/2018,06/30/2019,POINT (-92.449913 35.559375)
AK,HOMER,021313,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,99603,KENAI PENINSULA,(907) 235-8101,SSI - Colon Surgery: Predicted Cases,HAI_3_ELIGCASES,Not Available,0.057,3,07/01/2018,06/30/2019,POINT (-151.550296 59.652133)
AK,Fort Wainwright,02014F,Bassett ACH (FT Wainwright),4076 Neely Road,99703,FAIRBANKS NORTH STAR,(907) 361-4000,Central Line Associated Bloodstream Infection: Number of Device Days,HAI_1_DOPC,Not Available,22.0,3,07/01/2018,06/30/2019,POINT (-147.664767 64.827788)
AZ,GREEN VALLEY,030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,85614,PIMA,(520) 393-4700,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,HAI_2_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-111.010966 31.807943)
FL,WILLISTON,100322,REGIONAL GENERAL HOSPITAL WILLISTON,125 SW 7TH ST,32696,LEVY,(352) 528-2801,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,HAI_2_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-82.455793 29.384354)
CO,EADS,061300,WEISBROD MEMORIAL COUNTY HOSPITAL,1208 LUTHER STREET,81036,KIOWA,(719) 438-5401,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,HAI_2_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-102.784468 38.480198)
CO,COLORADO SPRINGS,060130,UCHEALTH GRANDVIEW HOSPITAL,5623 PULPIT PEAK VIEW,80918,EL PASO,(719) 272-3623,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,HAI_2_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-104.816436 38.910262)
FL,WILLISTON,100322,REGIONAL GENERAL HOSPITAL WILLISTON,125 SW 7TH ST,32696,LEVY,(352) 528-2801,Catheter Associated Urinary Tract Infections (ICU + select Wards): Predicted Cases,HAI_2_ELIGCASES,Not Available,0.077,3,07/01/2018,06/30/2019,POINT (-82.455793 29.384354)
CO,EADS,061300,WEISBROD MEMORIAL COUNTY HOSPITAL,1208 LUTHER STREET,81036,KIOWA,(719) 438-5401,MRSA Bacteremia: Predicted Cases,HAI_5_ELIGCASES,Not Available,0.079,3,07/01/2018,06/30/2019,POINT (-102.784468 38.480198)
CT,BRANFORD,070038,THE CONNECTICUT HOSPICE INC.,100 DOUBLE BEACH ROAD,6405,NEW HAVEN,(203) 315-7500,Catheter Associated Urinary Tract Infections (ICU + select Wards): Predicted Cases,HAI_2_ELIGCASES,Not Available,0.081,3,07/01/2018,06/30/2019,POINT (-72.833367 41.256305)
CA,MENLO PARK,050754,MENLO PARK SURGICAL HOSPITAL,570 WILLOW ROAD,94025,SAN MATEO,(650) 324-8500,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Not Available,0.067,3,07/01/2018,06/30/2019,POINT (-122.159517 37.462043)
CA,SOLVANG,051331,SANTA YNEZ VALLEY COTTAGE HOSPITAL,2050 VIBORG RD,93463,SANTA BARBARA,(805) 688-6431,Central Line Associated Bloodstream Infection: Number of Device Days,HAI_1_DOPC,Not Available,10.0,3,07/01/2018,06/30/2019,POINT (-120.126643 34.602465)
CA,SOLVANG,051331,SANTA YNEZ VALLEY COTTAGE HOSPITAL,2050 VIBORG RD,93463,SANTA BARBARA,(805) 688-6431,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-120.126643 34.602465)
CA,COLUSA,050783,COLUSA MEDICAL CENTER,199 E WEBSTER STREET,95932,COLUSA,(530) 619-0800,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,HAI_1_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-121.999974 39.207286)
CA,FALL RIVER MILLS,051305,MAYERS MEMORIAL HOSPITAL,43563 HWY 299 EAST,96028,SHASTA,(530) 336-5511,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Not Available,0.311,3,07/01/2018,06/30/2019,POINT (-121.424651 41.023968)
CA,COLUSA,050783,COLUSA MEDICAL CENTER,199 E WEBSTER STREET,95932,COLUSA,(530) 619-0800,Catheter Associated Urinary Tract Infections (ICU + select Wards): Predicted Cases,HAI_2_ELIGCASES,Not Available,0.15,3,07/01/2018,06/30/2019,POINT (-121.999974 39.207286)
CA,MENLO PARK,050754,MENLO PARK SURGICAL HOSPITAL,570 WILLOW ROAD,94025,SAN MATEO,(650) 324-8500,MRSA Bacteremia: Observed Cases,HAI_5_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-122.159517 37.462043)
CO,CRAIG,061314,"MEMORIAL HOSPITAL, THE",750 HOSPITAL LOOP,81625,MOFFAT,(970) 824-9411,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,HAI_1_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-107.57863 40.518288)
FL,MARATHON,101312,FISHERMEN'S COMMUNITY HOSPITAL,3301 OVERSEAS HWY,33050,MONROE,(305) 743-5533,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-81.09472 24.71113)
FL,WILLISTON,100322,REGIONAL GENERAL HOSPITAL WILLISTON,125 SW 7TH ST,32696,LEVY,(352) 528-2801,Clostridium Difficile (C.Diff): Observed Cases,HAI_6_NUMERATOR,Not Available,0.0,3,07/01/2018,06/30/2019,POINT (-82.455793 29.384354)
CO,COLORADO SPRINGS,060130,UCHEALTH GRANDVIEW HOSPITAL,5623 PULPIT PEAK VIEW,80918,EL PASO,(719) 272-3623,Clostridium Difficile (C.Diff): Predicted Cases,HAI_6_ELIGCASES,Not Available,0.305,3,07/01/2018,06/30/2019,POINT (-104.816436 38.910262)
FL,WILLISTON,100322,REGIONAL GENERAL HOSPITAL WILLISTON,125 SW 7TH ST,32696,LEVY,(352) 528-2801,Central Line Associated Bloodstream Infection: Number of Device Days,HAI_1_DOPC,Not Available,158.0,3,07/01/2018,06/30/2019,POINT (-82.455793 29.384354)
FL,MARATHON,101312,FISHERMEN'S COMMUNITY HOSPITAL,3301 OVERSEAS HWY,33050,MONROE,(305) 743-5533,MRSA Bacteremia: Patient Days,HAI_5_DOPC,Not Available,23.0,3,07/01/2018,06/30/2019,POINT (-81.09472 24.71113)
