price,facility,address,condition,zip,radius,city
133.0,Baylor Scott & White Legacy Heart Center,"6601 Preston Rd., Plano TX",cardiovascular,75001,50,Dallas
133.0,Texas Cardiac Associates,"7801 Lakeview Pkwy., Ste. 100, Rowlett TX",cardiovascular,75001,50,Dallas
149.0,Cardiology & Interventional Vascular Associates-Texas Health Dallas,"8230 Walnut Hill Ln., Professional Bldg. 3, Ste. 410, Dallas, TX",cardiovascular,75001,50,Dallas
149.0,Cardiology & Interventional Vascular Associates-Dallas,"7150 Greenville Ave., Ste. 500, Dallas TX",cardiovascular,75001,50,Dallas
190.0,The Dallas Heart Group - Baylor Scott & White,"7777 Forest Ln., Ste. A-202, Dallas TX",cardiovascular,75001,50,Dallas
190.0,Baylor Scott & White Cottonwood Cardiology,"1110 Cottonwood Ln., Ste. 105, Irving TX",cardiovascular,75001,50,Dallas
190.0,Cottonwood Cardiology,"1110 Cottonwood Ln., Ste. 105, Irving TX",cardiovascular,75001,50,Dallas
300.0,"Scott Ewing, DO - Texas Health Care, PLLC","508 S. Adams St., Ste. 100, Ft. Worth TX",cardiovascular,75001,50,Dallas
391.0,UT Southwestern Clinical Heart Center,"5939 Harry Hines Blvd., Ste. 935, Dallas TX",cardiovascular,75001,50,Dallas
529.0,Advanced Heart Care,"4716 Dexter Dr., Ste. 100, Plano TX",cardiovascular,75001,50,Dallas
320.0,Medical City Dallas (HCA),"7777 Forest Lane, Dallas TX",cardiovascular,75001,50,Dallas
698.0,Texas Health Presbyterian Plano,"6200 W. Parker Rd., Plano TX",cardiovascular,75001,50,Dallas
698.0,Texas Health Presbyterian Dallas,"8200 Walnut Hill Ln., Dallas TX",cardiovascular,75001,50,Dallas
698.0,Texas Health Arlington Memorial,"800 W. Randol Mill Rd., Arlington TX",cardiovascular,75001,50,Dallas
698.0,Texas Health Harris Methodist Fort Worth,"1301 Pennsylvania Ave., Ft. Worth TX",cardiovascular,75001,50,Dallas
698.0,Texas Health Harris Methodist Southwest Fort Worth,"6100 Harris Pkwy., Ft. Worth TX",cardiovascular,75001,50,Dallas
776.0,Baylor Scott & White Medical Center Sunnyvale,"231 S. Collins Rd., Sunnyvale TX",cardiovascular,75001,50,Dallas
860.0,Baylor Scott and White Grapevine,"1650 W. College St., Grapevine TX",cardiovascular,75001,50,Dallas
1047.0,Medical City Fort Worth (HCA),"900 Eighth Ave., Fort Worth TX",cardiovascular,75001,50,Dallas
5837.0,Baylor Scott and White Carrollton,"4343 N. Josey Ln., Carrollton TX",cardiovascular,75001,50,Dallas
6104.0,Baylor Scott and White Plano,"4700 Alliance Blvd., Plano TX",cardiovascular,75001,50,Dallas
7106.0,Baylor University Medical Center,"3500 Gaston Ave., Dallas TX",cardiovascular,75001,50,Dallas
7106.0,Baylor Scott and White Lake Pointe,"6800 Scenic Dr., Lake Pointe TX",cardiovascular,75001,50,Dallas
8217.0,Baylor Scott and White All Saints,"1400 8th Ave., Fort Worth TX",cardiovascular,75001,50,Dallas
12530.0,Baylor Scott and White Waxahachie,"2400 N. I-35E, Waxahachie TX",cardiovascular,75001,50,Dallas
13224.0,Texas Health Presbyterian Rockwall,"3150 Horizon Rd., Rockwall TX",cardiovascular,75001,50,Dallas
